id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-14,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-15,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-16,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-17,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-18,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-19,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-20,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-21,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-22,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-23,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-24,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-45,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-46,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
sc-54,,0,lv-3,0,Steel ASTM A992,,0.254,0.254
