id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area,material,function,thickness
54d0215b-3923-47b8-beb3-55f8d5cea386-000e4520,"Concrete 12""",,42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,,,-5.1562,34.11448062,-27.3431,-24.20873677,-5.461137129,-20.0279,-8.9154,-4.697399897,"[[-27.3431,-24.20873677],[-20.0279,-24.20873677],[-20.0279,-8.9154],[-27.3431,-8.9154]]",111.924149,"Concrete, Cast-in-Place gray",floor,0.3048
54d0215b-3923-47b8-beb3-55f8d5cea386-000e4528,"Concrete 12""",,42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,,,-4.697399897,25.41079766,-27.3431,-36.74340451,-5.004386613,-20.0279,-24.20873677,-3.193239768,"[[-27.3431,-36.74340451],[-20.0279,-34.30500451],[-20.0279,-24.20873677],[-27.3431,-24.20873677]]",83.36875874,"Concrete, Cast-in-Place gray",floor,0.3048
54d0215b-3923-47b8-beb3-55f8d5cea386-000e4530,"Concrete 12""",,42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,,,-3.339543768,31.3150866,-27.3431,-45.88740451,-3.790647768,-14.48903726,-34.30500451,-1.2192,,102.7397854,"Concrete, Cast-in-Place gray",floor,0.3048
